,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
285,alyeabr01,1940.0,12.0,8.0,Brant,Alyea
286,amalfjo01,1934.0,1.0,23.0,Joey,Amalfitano
287,amarari01,1962.0,4.0,1.0,Rich,Amaral
288,amarial01,1989.0,4.0,6.0,Alexi,Amarista
289,amaroru01,1936.0,1.0,6.0,Ruben,Amaro
290,amaroru02,1965.0,2.0,12.0,Ruben,Amaro
291,amblewa01,1915.0,11.0,8.0,Wayne,Ambler
292,ambrech01,1979.0,12.0,19.0,Chip,Ambres
293,ambrihe01,1984.0,5.0,24.0,Hector,Ambriz
294,amelued01,1959.0,4.0,13.0,Ed,Amelung
295,amesre01,1882.0,8.0,2.0,Red,Ames
296,amesst01,1988.0,3.0,15.0,Steve,Ames
297,amezaal01,1978.0,1.0,16.0,Alfredo,Amezaga
298,amoledo01,1874.0,1.0,1.0,Doc,Amole
299,amorosa01,1930.0,1.0,30.0,Sandy,Amoros
300,amorvi01,1932.0,8.0,8.0,Vicente,Amor
301,anckewa01,1893.0,4.0,10.0,Walter,Ancker
302,anderal01,1914.0,1.0,28.0,Alf,Anderson
303,anderal02,1964.0,1.0,7.0,Allan,Anderson
304,anderan01,1922.0,11.0,13.0,Andy,Anderson
305,anderbi01,1895.0,11.0,28.0,Bill,Anderson
306,anderbo01,1935.0,9.0,29.0,Bob,Anderson
307,anderbr01,1964.0,1.0,18.0,Brady,Anderson
308,anderbr02,1972.0,4.0,26.0,Brian,Anderson
309,anderbr03,1982.0,3.0,11.0,Brian,Anderson
310,anderbr04,1988.0,2.0,1.0,Brett,Anderson
311,anderbr05,1986.0,12.0,16.0,Bryan,Anderson
312,anderbu01,1956.0,5.0,27.0,Bud,Anderson
313,anderch01,1987.0,11.0,30.0,Chase,Anderson
314,anderco01,1990.0,9.0,14.0,Cody,Anderson
315,andercr01,1938.0,7.0,1.0,Craig,Anderson
316,anderda01,1868.0,10.0,10.0,Dave,Anderson
317,anderda02,1960.0,8.0,1.0,Dave,Anderson
